,website,region,Finanacial Status
0,http://academieartdentaire.fr,Provence-Alpes-Côte d'Azur,privé hors contrat
1,http://aei.u-pec.fr,Ile-de-France,public
2,http://agrocampus17.fr,Nouvelle-Aquitaine,public
3,http://all-metz.univ-lorraine.fr,Grand Est,public
4,http://all-nancy.univ-lorraine.fr/,Grand Est,public
5,http://allsh.univ-amu.fr/,Provence-Alpes-Côte d'Azur,public
6,http://allsh.univ-amu.fr/CAFPsyEN,Provence-Alpes-Côte d'Azur,public
7,http://ambroise-pare.e-lyco.fr,Pays de la Loire,public
8,http://anova.ddec.nc,Collectivités d'outre-mer,privé sous contrat
9,http://anthropologie-sociale.u-bordeaux.fr/,Nouvelle-Aquitaine,public
10,http://appert.e-lyco.fr/,Pays de la Loire,public
11,http://arago.paysdelaloire.e-lyco.fr,Pays de la Loire,public
12,http://arc-en-cirque.asso.fr/,Auvergne-Rhône-Alpes,public
13,http://argouges.ent.auvergnerhonealpes.fr/,Auvergne-Rhône-Alpes,public
14,http://artbeaune.fr/,Bourgogne-Franche-Comté,public
15,http://arts.unistra.fr,Grand Est,public
16,http://artsetmetiers.fr,Hauts-de-France,public
17,http://artsetmetiers.fr/fr/campus/bordeaux-talence,Nouvelle-Aquitaine,public
18,http://artsetmetiers.fr/fr/campus/campus-daix-en-provence,Provence-Alpes-Côte d'Azur,public
19,http://artsetmetiers.fr/fr/campus/chalons-en-champagne,Grand Est,public
20,http://artsetmetiers.fr/fr/campus/metz,Grand Est,public
21,http://artsetmetiers.fr/fr/institut/chambery,Auvergne-Rhône-Alpes,public
22,http://artsetmetiers.fr/fr/institut/laval,Pays de la Loire,public
23,http://atlantique.paysdelaloire.e-lyco.fr,Pays de la Loire,public
24,http://beauxarts.sete.fr/,Occitanie,public
25,http://bel-air.e-lyco.fr,Pays de la Loire,public
26,http://bergson.e-lyco.fr,Pays de la Loire,public
27,http://bertenejuminer.lyc.ac-guadeloupe.fr,Guadeloupe,public
28,http://bibliauvergne.uca.fr/,Auvergne-Rhône-Alpes,public
29,http://bioforce.org,Auvergne-Rhône-Alpes,privé
30,http://biologie.u-bordeaux.fr/,Nouvelle-Aquitaine,public
31,http://biologie.uca.fr/,Auvergne-Rhône-Alpes,public
32,http://blog.ac-versailles.fr/lyceelafoliesaintjames,Ile-de-France,public
33,http://bourdonnieres.e-lyco.fr/,Pays de la Loire,public
34,http://bpascal.fr/,Hauts-de-France,public
35,http://branly.e-lyco.fr/,Pays de la Loire,public
36,http://branlycreteil.free.fr/,Ile-de-France,public
37,http://brest.cesi.fr,Bretagne,privé reconnu par l'Etat
38,http://bretagne.ffnatation.fr/script/index.php,Bretagne,privé sous contrat
39,http://briand-lyc.spip.ac-rouen.fr/,Normandie,public
40,http://cafedanse.fr,Provence-Alpes-Côte d'Azur,privé sous contrat
41,http://calamar.univ-ag.fr/uag/staps/?fbclid=IwAR0XXqIp0K5Da0IZktwhZd6bKYvXMmKHlAa-UyS4Kp87vUB581axeMpgE_Y,Guadeloupe,public
42,http://campus-sante.paris/,Ile-de-France,privé
43,http://campus.chru-nancy.fr,Grand Est,public
44,http://campus.chru-nancy.fr/index.php/metiers/manipulateur-rice-d-electroradiologie-medicale,Grand Est,public
45,http://camus.e-lyco.fr,Pays de la Loire,public
46,http://carcouet.paysdelaloire.e-lyco.fr,Pays de la Loire,public
47,http://cassin-laurencin.ent.auvergnerhonealpes.fr/,Auvergne-Rhône-Alpes,public
48,http://ccdcguadeloupe.fr,Guadeloupe,privé
49,http://cdg.etab.ac-caen.fr,Normandie,public
50,http://cefedem-lorraine.fr,Grand Est,public
51,http://cemeabfc.org,Bourgogne-Franche-Comté,privé sous contrat
52,http://centre-universitaire-agen.fr/le-campus/le-campus-du-pin,Nouvelle-Aquitaine,public
53,http://ceu.univ-lorraine.fr,Grand Est,public
54,http://cfa.naturapole.fr,Normandie,public
55,http://cfdc.aphp.fr/cfpph/,Ile-de-France,public
56,http://cfdc.aphp.fr/ifmem/,Ile-de-France,public
57,http://cfdc.aphp.fr/ifsi-ambroise-pare/,Ile-de-France,public
58,http://cfdc.aphp.fr/ifsi-avicenne-jean-verdier/,Ile-de-France,public
59,http://cfdc.aphp.fr/ifsi-bichat/,Ile-de-France,public
60,http://cfdc.aphp.fr/ifsi-henri-mondor/,Ile-de-France,public
61,http://cfdc.aphp.fr/ifsi-ifas-antoine-beclere/,Ile-de-France,public
62,http://cfdc.aphp.fr/ifsi-ifas-campus-picpus/,Ile-de-France,public
63,http://cfdc.aphp.fr/ifsi-ifas-emile-roux/,Ile-de-France,public
64,http://cfdc.aphp.fr/ifsi-ifas-louis-mourier/,Ile-de-France,public
65,http://cfdc.aphp.fr/ifsi-ifas-pitie-salpetriere/,Ile-de-France,public
66,http://cfdc.aphp.fr/ifsi-ifas-saint-louis/,Ile-de-France,public
67,http://cfdc.aphp.fr/ifsi-ifas-tenon/,Ile-de-France,public
68,http://cfmi.unistra.fr,Grand Est,public
69,http://cfmi.univ-amu.fr,Provence-Alpes-Côte d'Azur,public
70,http://cfp.u-paris2.fr,Ile-de-France,public
71,http://ch-aubagne.eu/vous-etes/etudiants-ou-en-formation-continue/ifsi-ifas-ifap/,Provence-Alpes-Côte d'Azur,public
72,http://ch-saintomer.fr/formation/linstitut-de-formation/,Hauts-de-France,public
73,http://chappe.e-lyco.fr/,Pays de la Loire,public
74,http://charles-et-adrien-dupuy-le-puy.ent.auvergnerhonealpes.fr/,Auvergne-Rhône-Alpes,public
75,http://chevalier.etab.ac-caen.fr,Normandie,public
76,http://chevrollier.e-lyco.fr,Pays de la Loire,public
77,http://chimie.uca.fr/,Auvergne-Rhône-Alpes,public
78,http://chimie.unistra.fr,Grand Est,public
79,http://chirurgie-dentaire.unistra.fr,Grand Est,public
80,http://chu-toulouse.fr/-pole-regional-d-enseignement-et-de-formation-aux-1802-,Occitanie,public
81,http://cinefabrique.fr/,Auvergne-Rhône-Alpes,privé reconnu par l'Etat
82,http://cite-daubie.monbureaunumerique.fr/lycee-polyvalent/,Grand Est,public
83,http://cite-marquette.monbureaunumerique.fr,Grand Est,public
84,http://cite-maurois.monbureaunumerique.fr/,Grand Est,public
85,http://cite-poincare.monbureaunumerique.fr,Grand Est,public
86,http://cmapap.wixsite.com/cma-pap/nos-cursus,Guadeloupe,privé
87,http://cms.ac-martinique.fr/etablissement/lgtmontgerald/,Martinique,public
88,http://cms.ac-martinique.fr/etablissement/lpoplacedarmes/,Martinique,public
89,http://cnamsecuritedefense.fr,Bretagne,public
90,http://cnsnmm.sports.gouv.fr/index.php?option=com_content&view=article&id=429&Itemid=93,Bourgogne-Franche-Comté,public
91,http://colbert-lyc.spip.ac-rouen.fr/,Normandie,public
92,http://coliniere.e-lyco.fr/,Pays de la Loire,public
93,http://condorcet.u-bourgogne.fr/,Bourgogne-Franche-Comté,public
94,http://corotdouai.etab.ac-lille.fr/,Hauts-de-France,public
95,http://coubertin-lyc.spip.ac-rouen.fr,Normandie,public
96,http://cpda.cnam.fr,Ile-de-France,public
97,http://crr-bb.seineouest.fr,Ile-de-France,public
98,http://crr.annecy.fr,Auvergne-Rhône-Alpes,public
99,http://cuej.unistra.fr,Grand Est,public
100,http://cva.parisnanterre.fr,Ile-de-France,public
101,http://de-lattre.e-lyco.fr,Pays de la Loire,public
102,http://deccid.univ-lille.fr/infocom/,Hauts-de-France,public
103,http://deccid.univ-lille.fr/scienceseducation/,Hauts-de-France,public
104,http://deccid.univ-lille.fr/sid/,Hauts-de-France,public
105,http://decretot-lyc.spip.ac-rouen.fr/,Normandie,public
106,http://dentaire.ups-tlse.fr,Occitanie,public
107,http://departement-ingenieur.univ-antilles.fr,Guadeloupe,public
108,http://dlc-csh.u-bordeaux.fr/,Nouvelle-Aquitaine,public
109,http://douanier-rousseau.e-lyco.fr/,Pays de la Loire,public
110,http://droit-eco-gestion.univ-rouen.fr/,Normandie,public
111,http://droit-eco-gestion.univ-rouen.fr/institut-d-etudes-judiciaires-234656.kjsp?RH=1380117730129&RF=1380117730129,Normandie,public
